URN,LAESTAB,School name,Ofsted phase,Type of education,Sixth form,Designated religious character,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,The income deprivation affecting children index (IDACI) quintile,Total pupils,Inspection date,Overall effectiveness,16 to 19 study programmes,Early years provision (where applicable),Outcomes for children and learners,"Quality of teaching, learning and assessment","Personal development, behaviour and welfare",Effectiveness of leadership and management,Previous full inspection date,Previous full inspection overall effectiveness,Previous 16 to 19 study programmes,Previous early years provision (where applicable),Previous outcomes for children and learners,"Previous quality of teaching, learning and assessment","Previous personal development, behaviour and welfare",Previous effectiveness of leadership and management
101494,3803377,Peel Park Primary School and Nursery,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD2 4PR,5,641,05/05/2016,2,9,2,2,2,2,2,09/04/2014,3,9,9,3,3,9,2
105142,3501002,Alexandra Nursery School,Nursery,LA Nursery School,Not applicable,Does not apply,North West,North West,Bolton,Bolton South East,BL3 4AH,NULL,160,04/03/2015,1,9,1,1,1,9,1,16/02/2012,1,9,8,1,1,9,1
105144,3501005,Grosvenor Nursery School,Nursery,LA Nursery School,Not applicable,Does not apply,North West,North West,Bolton,Bolton South East,BL4 8AR,NULL,96,29/11/2012,1,9,9,1,1,9,1,08/12/2009,1,9,1,1,1,9,1
105145,3501006,The Orchards Nursery School,Nursery,LA Nursery School,Not applicable,Does not apply,North West,North West,Bolton,Bolton South East,BL4 0RA,NULL,88,04/12/2013,2,9,9,2,2,9,2,20/10/2010,2,9,2,2,2,9,2
105148,3502000,Brandwood Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton South East,BL3 4BG,4,471,27/11/2013,2,9,9,2,2,9,2,18/05/2011,2,9,2,2,2,9,1
105149,3502004,Brownlow Fold Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton North East,BL1 3DX,5,279,09/11/2011,2,9,1,2,2,9,2,15/02/2007,2,9,2,2,2,9,2
105150,3502005,Castle Hill Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton North East,BL2 2JT,5,224,18/11/2015,2,9,2,2,2,2,2,23/10/2013,3,9,9,3,3,9,3
105152,3502008,Church Road Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton West,BL1 5RU,4,446,10/02/2016,2,9,2,2,2,2,2,30/01/2014,3,9,9,3,3,9,3
105153,3502010,Clarendon Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton South East,BL3 6SN,5,489,02/03/2016,2,9,2,2,2,1,2,13/05/2011,2,9,2,2,2,9,2
105154,3502013,Devonshire Road Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton West,BL1 4ND,4,412,07/11/2012,2,9,9,2,2,9,2,09/12/2010,3,9,3,3,3,9,3
